Area,Price,Type,Size
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Thanisandra,80.7 Lac,2 BHK 1279 Sq-ft Flat,830 sqft
Gottigere,57.3 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
Chikkabalapur,35.0 Lac,Residential Plot,4000 sqft
JP Nagar 9th Phase,2.65 Cr,3 BHK Villa,2791 sqft
Sarjapur Road,84.0 Lac,3 BHK 1511 Sq-ft Flat,1511 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,88.5 Lac,3 BHK 1361 Sq-ft Flat,1361 sqft
Yelahanka,65.6 Lac,2 BHK 1276 Sq-ft Flat,907 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Electronics City Phase 1,39.1 Lac,3 BHK 1304 Sq-ft Flat,1304 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Koramangala,1.54 Cr,2 BHK Flat,954 sqft
Hoodi Circle,52.3 Lac,1 BHK 793 Sq-ft Flat,793 sqft
Old Madras Road,1.10 Cr,3 BHK 1945 Sq-ft Flat,1945 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Haralur Road,1.24 Cr,3 BHK 1810 Sq-ft Flat,1810 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1004 Sq-ft Flat,1004 sqft
Sarjapur Road,33.1 Lac,3 BHK 948 Sq-ft Flat,948 sqft
Sarjapur Road,1.22 Cr,3 BHK 1924 Sq-ft Flat,1924 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,900 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
